# time, ang_and_lin_err
3.800000000000001710e-01 6.966983719160241284e-02 3.015504443001787091e-02
3.900000000000001799e-01 6.522375504485081188e-02 2.959898851218018684e-02
3.900000000000001799e-01 6.522375504485081188e-02 2.959898851218018684e-02
4.000000000000001887e-01 6.092468541836001256e-02 2.905573051400442419e-02
4.000000000000001887e-01 6.092468541836001256e-02 2.905573051400442419e-02
4.100000000000001976e-01 5.678328597347539336e-02 2.852573998564630897e-02
4.100000000000001976e-01 5.678328597347539336e-02 2.852573998564630897e-02
4.200000000000002065e-01 5.280869294579465523e-02 2.800938201461786528e-02
4.200000000000002065e-01 5.280869294579465523e-02 2.800938201461786528e-02
4.300000000000002154e-01 4.900928659762165268e-02 2.750690160374750365e-02
4.300000000000002154e-01 4.900928659762165268e-02 2.750690160374750365e-02
4.400000000000002243e-01 4.539322522850387093e-02 2.701841360520028379e-02
4.400000000000002243e-01 4.539322522850387093e-02 2.701841360520028379e-02
4.500000000000002331e-01 4.099105468132255292e-02 2.652729058105696147e-02
4.500000000000002331e-01 4.099105468132255292e-02 2.652729058105696147e-02
4.600000000000002420e-01 3.692620638912894049e-02 2.603740548296457069e-02
4.600000000000002420e-01 3.692620638912894049e-02 2.603740548296457069e-02
4.700000000000002509e-01 3.331430931158212150e-02 2.555148811930433791e-02
4.700000000000002509e-01 3.331430931158212150e-02 2.555148811930433791e-02
4.800000000000002598e-01 3.016142316771526152e-02 2.507179007844086149e-02
4.800000000000002598e-01 3.016142316771526152e-02 2.507179007844086149e-02
4.900000000000002687e-01 2.810302171577086158e-02 2.461292849732116955e-02
4.900000000000002687e-01 2.810302171577086158e-02 2.461292849732116955e-02
5.000000000000002220e-01 2.632914779249498696e-02 2.417271508248980058e-02
5.000000000000002220e-01 2.632914779249498696e-02 2.417271508248980058e-02
5.100000000000002309e-01 2.475053541728989420e-02 2.374973155555179169e-02
5.100000000000002309e-01 2.475053541728989420e-02 2.374973155555179169e-02
5.200000000000002398e-01 2.336622545518605987e-02 2.334257440676522355e-02
5.200000000000002398e-01 2.336622545518605987e-02 2.334257440676522355e-02
5.300000000000002487e-01 2.218430218473668378e-02 2.294976093052299507e-02
5.300000000000002487e-01 2.218430218473668378e-02 2.294976093052299507e-02
5.400000000000002576e-01 2.121094047268322347e-02 2.256973505321718462e-02
5.400000000000002576e-01 2.121094047268322347e-02 2.256973505321718462e-02
5.500000000000002665e-01 2.044786311225076439e-02 2.220088794774056559e-02
5.500000000000002665e-01 2.044786311225076439e-02 2.220088794774056559e-02
5.600000000000002753e-01 1.989107733830334721e-02 2.184158042039695616e-02
5.600000000000002753e-01 1.989107733830334721e-02 2.184158042039695616e-02
5.700000000000002842e-01 1.953032731014836196e-02 2.149016478908234370e-02
5.700000000000002842e-01 1.953032731014836196e-02 2.149016478908234370e-02
5.800000000000002931e-01 1.934939153530538386e-02 2.114500559705303692e-02
5.800000000000002931e-01 1.934939153530538386e-02 2.114500559705303692e-02
5.900000000000003020e-01 1.932721046661396019e-02 2.080449880703466245e-02
5.900000000000003020e-01 1.932721046661396019e-02 2.080449880703466245e-02
6.000000000000003109e-01 1.943958256690954053e-02 2.046708923351230058e-02
6.000000000000003109e-01 1.943958256690954053e-02 2.046708923351230058e-02
6.100000000000003197e-01 1.966102747680540178e-02 2.013128605707874275e-02
6.100000000000003197e-01 1.966102747680540178e-02 2.013128605707874275e-02
6.200000000000003286e-01 1.996644547437195077e-02 1.979567634295780268e-02
6.200000000000003286e-01 1.996644547437195077e-02 1.979567634295780268e-02
6.300000000000003375e-01 2.033235072246802888e-02 1.945893655624712781e-02
6.300000000000003375e-01 2.033235072246802888e-02 1.945893655624712781e-02
